id;estado;fc;fm;fecha;codigo;cliente;tipo_envio;numini;numfin;totenvio;entregado;uc_id;um_id;fpago
338;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;JUT;AGENCIA JUTIAPA;GUIA MADRE;840251;840550;300;1;;;GUIAS EN BLANCO
339;1;18/01/2022 00:00;29/08/2022;18/01/2022 00:00;GUA-8570;IMPORTADORA FIESTA Y CIA LTDA;GUIA MADRE;840551;842550;2000;1;;;CREDITO
340;1;14/01/2022 00:00;29/08/2022;14/01/2022 00:00;XCO-313;QUIMIPROVA S.A.;GUIA MADRE;842751;842850;100;1;;;POR COBRAR
341;1;17/01/2022 00:00;29/08/2022;17/01/2022 00:00;XCO-168;PROTECCION SOLAR LA TORRE;GUIA MADRE;842853;842950;98;1;;;POR COBRAR
342;1;17/01/2022 00:00;29/08/2022;17/01/2022 00:00;GUS-446;COMERCIAL SAN CRISTOBAL;GUIA MADRE;842951;843050;100;1;;;COMPARTIDO
343;1;17/01/2022 00:00;29/08/2022;17/01/2022 00:00;XCO-40;IMPORTACIONES RIVAS;GUIA MADRE;843051;843200;150;1;;;COMPARTIDO
344;1;18/01/2022 00:00;29/08/2022;18/01/2022 00:00;GUA-14;DROGUERIA BIOTHICAL S,A.;GUIA MADRE;843201;843300;100;1;;;CREDITO
345;1;18/01/2022 00:00;29/08/2022;18/01/2022 00:00;XCO-719;LA CASA DE LOS HILOS;GUIA MADRE;843301;843350;50;1;;;POR COBRAR
346;1;18/01/2022 00:00;29/08/2022;18/01/2022 00:00;XCO-953;INVENTIVA COSMETCOS S.A.;GUIA MADRE;843351;843400;50;1;;;POR COBRAR
347;1;19/01/2022 00:00;29/08/2022;19/01/2022 00:00;XCO-847;ALMACEN SULTANA;GUIA MADRE;843701;843763;63;1;;;POR COBRAR
348;1;19/01/2022 00:00;29/08/2022;19/01/2022 00:00;XCO-1038;AUTOHOUS;GUIA MADRE;843764;843800;37;1;;;POR COBRAR
349;1;19/01/2022 00:00;29/08/2022;19/01/2022 00:00;CON-78;INDUSTRIAS DEL COLOR S,A.;GUIA MADRE;843801;843850;50;1;;;CONTADO
350;1;19/01/2022 00:00;29/08/2022;19/01/2022 00:00;GUA-500;DROGUERIA EXCEL;GUIA MADRE;843851;843950;100;1;;;CREDITO
351;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;XCO-962;RYH CALDERON;GUIA MADRE;844151;844200;50;0;;;POR COBRAR
352;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;XCO-577;EL NAYLON S,A.;GUIA MADRE;844201;844250;50;1;;;POR COBRAR
353;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;XCO-425;AUTO EMPAQUE LP;GUIA MADRE;844251;844300;50;1;;;POR COBRAR
354;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;V02-979;BOTICA GANADERA;GUIA MADRE;844301;844350;50;1;;;CREDITO
355;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;V03-991;DISTRIBUIDORA TECNICA INDUSTRIAL, S.A.;GUIA MADRE;844351;844400;50;1;;;CREDITO
356;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;JAL;AGENCIA JALAPA;GUIA MADRE;844401;844550;150;1;;;POR COBRAR
357;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;JAL;AGENCIA JALAPA;GUIA MADRE;848551;848700;150;1;;;POR COBRAR
358;1;24/01/2022 00:00;29/08/2022;24/01/2022 00:00;V03-1046;MULTIPRODUCTOS HOSPITALARIOS E INDUSTRIALES;GUIA MADRE;848801;848850;50;1;;;CREDITO
359;1;24/01/2022 00:00;29/08/2022;24/01/2022 00:00;V02-979;BOTICA GANADERA;GUIA MADRE;848851;848900;50;1;;;CREDITO
360;1;25/01/2022 00:00;29/08/2022;25/01/2022 00:00;CON-598;FARMACEUTICA MAR, S.A.;GUIA MADRE;849078;849227;150;1;;;CONTADO
361;1;25/01/2022 00:00;29/08/2022;25/01/2022 00:00;XCO-77;IMPORTACIONES CRESGO S,A.;GUIA MADRE;849228;849327;100;1;;;POR COBRAR
362;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-155;REPRESENTACIONES MOREL;GUIA MADRE;849501;849550;50;1;;;POR COBRAR
363;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;GUA-290;CORPORACION PLUS ,S.A;GUIA MADRE;849551;849650;100;1;;;CREDITO
364;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-933;BY OPORTUNO/JESED;GUIA MADRE;849651;849700;50;1;;;POR COBRAR
365;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-781;FARMACEUTICA MAR, S.A.;GUIA MADRE;849701;849850;150;1;;;POR COBRAR
366;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-77;IMPORTACIONES CRESGO S,A.;GUIA MADRE;849851;849950;100;1;;;POR COBRAR
367;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-2;ALMACEN EMMA;GUIA MADRE;849951;850050;100;1;;;POR COBRAR
368;1;26/01/2022 00:00;29/08/2022;26/01/2022 00:00;XCO-32;INVERSIONES ASIATICAS GUATEMALA S,A.;GUIA MADRE;850051;850150;100;1;;;COMPARTIDO
369;1;27/01/2022 00:00;29/08/2022;27/01/2022 00:00;XCO-496;NAT & CO MAYOREO;GUIA MADRE;850351;850450;100;1;;;POR COBRAR
370;1;27/01/2022 00:00;29/08/2022;27/01/2022 00:00;XCO-843;DISMAJO, S.A.;GUIA MADRE;850451;850550;100;1;;;POR COBRAR
371;1;27/01/2022 00:00;29/08/2022;27/01/2022 00:00;XCO-34;DIFORZA INTERNATIONAL ,S.A;GUIA MADRE;850551;850750;200;1;;;POR COBRAR
372;1;27/01/2022 00:00;29/08/2022;27/01/2022 00:00;XCO-939;TREKER DE GUATEMALA, S.A.;GUIA MADRE;850802;850851;50;1;;;POR COBRAR
373;1;31/01/2022 00:00;29/08/2022;31/01/2022 00:00;XCO-811;MULTISERVICIOS IDEART;GUIA MADRE;851151;851250;100;1;;;POR COBRAR
374;1;31/01/2022 00:00;29/08/2022;31/01/2022 00:00;CHI;AGENCIA CHIQUIMULA;GUIA MADRE;851251;851550;300;1;;;GUIAS EN BLANCO
375;1;1/02/2022 00:00;29/08/2022;1/02/2022 00:00;XCO-8569;ALMACEN SUPER KISS;GUIA MADRE;851851;851900;50;1;;;POR COBRAR
376;1;1/02/2022 00:00;29/08/2022;1/02/2022 00:00;XCO-855;XS AUDIO;GUIA MADRE;851901;851950;50;1;;;POR COBRAR
377;1;1/02/2022 00:00;29/08/2022;1/02/2022 00:00;ZAC;AGENCIA ZACAPA;GUIA MADRE;851951;852250;300;0;;;GUIA EN BLANCO
378;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;XCO-1020;FALSET// CENTRO OPTICO;GUIA MADRE;852301;852350;50;1;;;POR COBRAR
